dish_name,dish_category
"Up Липтон Лимон в бутылке 0,5л",Напитки
"Липтон Грин стандарт 0,5",Напитки
1RUB.Кинг Фри станд,Закуски
1RUB.Наггетсы (6 шт.),Закуски
Up Карт. Деревен. станд,Закуски
Луковые Кольца (6 шт.),Закуски
Латте (БОЛ.),Напитки
"Эвервесс Лемон-Лайм джун 0,3л б/л",Напитки
"Эвервесс Апельсин б/л  мал 0,4",Напитки
"Липтон Зеленый Чай в бутылке 0,5л",Напитки
Родео Гамбургер,Бургер
Up Сырный соус Пармеджано,Соус
Крылышки (6 шт.),Закуски
Капучино (СТАНД.),Напитки
А4 ЛОКЕР,прочее
"Липтон Лимон стандарт 0,5",Напитки
Up Сырные Медальоны (6 шт.),Закуски
"Сок Яблочный 0,2л",Напитки
"Липтон Лимон в бутылке 0,5л",Напитки
Двойной Воппер,Бургер
Up Сандэй Клубничный,Десерт
Чикенбургер,Бургер
Up Кинг Фри станд,Закуски
"Эвервесс Кола стандарт 0,5",Напитки
Сандэй Шоколадный,Десерт
Up Капучино (БОЛ.),Напитки
"Эвервесс Лемон-Лайм б/л  мал 0,4",Напитки
"Эвервесс Блэк Роял стандарт 0,5",Напитки
Креветки (6 шт.),Закуски
Латте (СТАНД.),Напитки
Up Латте (СТАНД.),Напитки
Up Горячий Брауни с мороженым,Десерт
Гранд Чиз Двойной,Бургер
Up Луковые Кольца (6 шт.),Закуски
Up Луковые Кольца (9 шт.),Закуски
Сандэй Ванильный,Десерт
Ангус 4 Сыра,Бургер
Up Чизбургер,Бургер
Чай черный мал,Напитки
Родео Чикен Гамбургер новый,Бургер
Чипсы/сухарики Lay’s сметана и зелень,прочее
Сырбургер,Бургер
Итальяно Ролл с курицей,Ролл
Up Капучино (СТАНД.),Напитки
Сандэй Клубничный,Десерт
"Фрустайл Апельсин джун 0,3л",Напитки
1RUB.Сырные Медальоны (6 шт.),Закуски
Up Соус 1000 островов,Соус
Горячий Брауни,Десерт
Айс Твист Шоколадный,Десерт
"Фрустайл Лимон Лайм джун 0,3л",Напитки
Стрипсы (3 шт.),Закуски
Сырные Медальоны (9 шт.),Закуски
Up Гранд Чиз,Бургер
Итальяно Кинг,Бургер
"Эвервесс Блэк Роял в бутылке 0,5л",Напитки
"Сок Апельсиновый 0,2л",Напитки
Ангус Камамбер,Бургер
Up Клубничный Шейк мал,Напитки
Крылышки (3 шт.),Закуски
Клубничный Шейк мал,Напитки
Ord.Сырный и Карри соусы,Соус
Двойной Воппер с сыром,Бургер
"Эвервесс Апельсин б/л  стандарт 0,5",Напитки
"Кола б/л мал 0,4",Напитки
"Дюшес джун 0,3л б/л",Напитки
Барбекю Бекон Гамбургер,Бургер
"Up Эвервесс Блэк Роял в бутылке 0,5л",Напитки
Айс Твист Клубничный,Десерт
Чай зеленый мал,Напитки
Клубничный Шейк бол,Напитки
А4 БУРГЕР 2.0,прочее
Сырбургер Чикен New,Бургер
Клубничный Шейк станд,Напитки
Беконайзер new,Бургер
Up Латте (БОЛ.),Напитки
"Эвервесс Апельсин в бутылке 0,5л",Напитки
"Кола джун 0,3л б/л",Напитки
Ангус Пармеджано,Бургер
Up Гранд Чиз Фреш,Бургер
Кинг Гоу Наггетсы,Закуски
Острый Воппер,Бургер
Итальяно Кинг с курицей,Бургер
"Байкал б/л мал 0,4",Напитки
"Вода Аква Минерале без газа 0,5л",Напитки
"Байкал джун 0,3л б/л",Напитки
Up Кинг Фри бол,Закуски
Луковые Кольца (9 шт.),Закуски
Пиво Балтика 7 0.5л розлив,Напитки
Соус Брусничный,Соус
Латте Айриш Крим (СТАНД.),Напитки
"Дюшес б/л мал 0,4",Напитки
Кофе (СТАНД.),Напитки
"Эвервесс Кола в бутылке 0,5л",Напитки
"Up Липтон Грин мал 0,4",Напитки
Улитка с Корицей,Десерт
А4 ЛИПУН,Дополнительно
Гранд Чиз Фреш Двойной,Бургер
Чеддер Начос Кинг,Бургер
"Эвервесс Лемон-Лайм б/л  стандарт 0,5",Напитки
Up Шоколадный Шейк мал,Напитки
"Up Эвервесс Апельсин в бутылке 0,5л",Напитки
Чеддер Начос Чикен Ролл,Ролл
"Кинг Букет ""Большой микс""",прочее
Капучино Айриш Крим (СТАНД.),Напитки
Ванильный Шейк бол,Напитки
Up Соус Гриль Особый,Соус
"Фрустайл Апельсин мал 0,4",Напитки
Шоколадный Шейк бол,Напитки
Шоколадный Шейк станд,Напитки
Ванильный Шейк мал,Напитки
Креветки (3 шт.),Закуски
Барбекю Бекон Чикенбургер,Бургер
1RUB.Пирожок с вишней,Десерт
Шоколадный Шейк мал,Напитки
"Фрустайл Лимон Лайм мал 0,4",Напитки
Ванильный Шейк станд,Напитки
"Кола б/л стандарт 0,5",Напитки
1RUB.Воппер,Бургер
Соус Цезарь,Соус
"Эвервесс Лемон-Лайм в бутылке 0,5л",Напитки
Сырные Медальоны (12 шт.),Закуски
Up Воппер Ролл,Ролл
Острый Чизбургер,Бургер
1RUB.Рожок,Десерт
Чай черный станд,Напитки
Up Ванильный Шейк мал,Напитки
"Байкал б/л  стандарт 0,5",Напитки
Острая Штука + Шейкер,Дополнительно
Кинг Букет «Креветки»,Закуски
АНГУС Шеф Двойной new,Бургер
А4 ЧИКЕНБУРГЕР,Бургер
1RUB.Капучино (БОЛ.),Напитки
Крылышки (12 шт.),Закуски
Острый Чикен Чизбургер New,Бургер
Комплект Стикстеров,Дополнительно
Биг Кинг Джуниор,Бургер
"Up Эвервесс Лемон-Лайм в бутылке 0,5л",Напитки
Острые Наггетсы 6 Шт,Закуски
"Дюшес б/л стандарт 0,5",Напитки
Чеддер Начос Кинг с курицей,Бургер
Грибной Гамбургер,Бургер
Острый Чикенбургер New,Бургер
Какао,Напитки
3D-ПАТЧ,Дополнительно
Up Сандэй Ванильный,Десерт
Стрипсы (6 шт.),Закуски
"Up Липтон Лимон мал 0,4",Напитки
Стрипс Кинг,Закуски
Чеддер Начос Шримп Ролл,Ролл
Тильзитер Кинг,Бургер
Крылышки (9 шт.),Закуски
Up Стрипсы (3 шт.),Закуски
"Лимонад б/л мал 0,4",Напитки
Up Цезарь ролл со стрипсами,Ролл
"Up Эвервесс Кола в бутылке 0,5л",Напитки
Мистери Воппер,Бургер
Рожок Малина,Десерт
Острый Томатный соус,Соус
"Фрустайл Лимон Лайм стандарт 0,5",Напитки
Острый Воппер Джуниор,Бургер
1RUB.Латте (БОЛ.),Напитки
"Пепси Кола Джун б/л (0,3)",Напитки
"Пиво Черри Найт 0,5л розлив",Напитки
Up Кофе (СТАНД.),Напитки
Up Наггетсы (9 шт.),Закуски
"Up Липтон Грин большой 0,8",Напитки
"Up Эвервесс Блэк Роял мал 0,4",Напитки
Фиш Бургер,Бургер
Итальяно Кинг с Беконом,Бургер
Острый Чикен Тар-Тар,Бургер
Тильзитер Кинг с курицей,Бургер
"Кинг Букет ""Крылышки XXL""",Закуски
Тройной Воппер,Бургер
"Кинг Букет ""Снек-микс""",прочее
Up Улитка с Корицей,Десерт
"Фрустайл Апельсин стандарт 0,5",Напитки
"Пепси Кола б/л  мал 0,4",Напитки
Чай Зеленый станд,Напитки
Креветки (12 шт.),Закуски
"Дюшес джун 0,3л",Напитки
Грибной Чикенбургер,Бургер
Итальяно Кинг Двойной,Бургер
Up Родео Гамбургер,Бургер
Луковые Кольца (12 шт.),Закуски
Ангус 4 Сыра Двойной,Бургер
"Лимонад джун 0,3л б/л",Напитки
Up Родео Чикен Гамбургер новый,Бургер
Креветки (9 шт.),Закуски
Сандэй Карамельный,Десерт
Чеддер Бекон Ролл,Ролл
Фиш Ролл,Ролл
Кинг Фри бол + Острая штука,Закуски
Up Барбекю Бекон Гамбургер,Бургер
"Фрустайл Апельсин в бутылке 0,5л",Напитки
Острый Воппер Ролл,Ролл
Пирожок с малиной,Десерт
Острый Гамбургер,Бургер
Латте Айриш Крим (МАЛ.),Напитки
Гамбургер По-Французски,Бургер
Кофе глясе,Напитки
Чеддер Бекон Кинг,Бургер
Итальяно Кинг Острый,Бургер
Острый Кинг Фри Станд,Закуски
Малиновый Шейк мал,Напитки
"Up Липтон Лимон большой 0,8",Напитки
Чеддер Бекон Острый,Бургер
"Up Эвервесс Блэк Роял  большой 0,8",Напитки
"Пепси Кола б/л стандарт 0,5",Напитки
Шримп Пармезан Ролл,Ролл
Малиновый Шейк станд,Напитки
Тильзитер Ролл,Ролл
Острый Кинг Фри Бол,Закуски
Up Барбекю Бекон Чикенбургер,Бургер
"Лимонад б/л стандарт 0,5",Напитки
Up Сырбургер,Бургер
Капучино Айриш Крим (МАЛ.),Напитки
"Дюшес мал 0,4",Напитки
Up Карт. Деревен. мал,Закуски
Карамельный Латте (БОЛ.),Напитки
Малиновый Шейк бол,Напитки
"Up Липтон Грин б/л мал 0,4",Напитки
Мистери Чикен Тар-Тар,Бургер
"Эвервесс Кола большой 0,8",Напитки
Капучино Пряная Тыква (СТАНД.),Напитки
Up Воппер с сыром,Бургер
Острый Роял Фри,Закуски
Острый Гранд Чиз,Бургер
Острый Кинг Фри Мал,Закуски
Цезарь Кинг new,Бургер
Up Острый Воппер,Бургер
Пакет,Дополнительно
Карамельный Капучино (БОЛ.),Напитки
Латте Пряная Тыква (СТАНД.),Напитки
Пиво Gorkovskaya Brewery Weizen,Напитки
"Мандарин б/л мал 0,4",Напитки
Карамельный Капучино (СТАНД.),Напитки
Up Цезарь Кинг новый,Бургер
Чеддер Начос Кинг Двойной,Бургер
Острый Ангус Пармеджано,Бургер
Чикен Чизбургер new,Бургер
Up Сырные Медальоны (9 шт.),Закуски
Up Сырбургер Чикен New,Бургер
Карамельный Латте (СТАНД.),Напитки
Мистери Гранд Чиз Фреш,Бургер
А4 РОЛЛ,Ролл
"Up Эвервесс Апельсин б/л  большой 0,8",Напитки
"Фрустайл Лимон Лайм в бутылке 0,5л",Напитки
Чеддер Бекон Чикен,Бургер
"Вода Аква Минерале с газом 0,5л",Напитки
"Кинг Букет ""КРЕВЕТКИ XXL""",Закуски
Сандэй Малиновый,Десерт
Острый Воппер С Сыром,Бургер
Up Шримп Ролл,Ролл
Сухарики Lava Lava «Дикий Шашлык»,прочее
Острый Цезарь Кинг New,Бургер
Латте Айриш Крим (БОЛ.),Напитки
"Up Эвервесс Кола большой 0,8",Напитки
Flash Up,Напитки
Up Сандэй Карамельный,Десерт
Энергет.нап. Адреналин Раш,Напитки
Чикенбургер По-Французски,Бургер
Острый Цезарь Ролл Со Стрипсами,Ролл
"Липтон Грин большой 0,8",Напитки
1RUB.Крылышки (6 шт.),Закуски
1RUB.АНГУС Шеф new,Бургер
Капучино Айриш Крим (БОЛ.),Напитки
Up Двойной Чизбургер,Бургер
1RUB.Чикен Тар-Тар,Бургер
Кинг Букет «Стрипсы Микс»,Закуски
"Up Эвервесс Апельсин б/л мал 0,4",Напитки
Up Острый Воппер Джуниор,Бургер
Up Капучино (МАЛ.),Напитки
Салат Цезарь с креветками,прочее
1RUB.Улитка с Корицей,Десерт
"Липтон Лимон большой 0,8",Напитки
"Up Липтон Грин стандарт 0,5",Напитки
Ангус Пармезан,Бургер
"Up Эвервесс Лимон-Лайм б/л мал 0,4",Напитки
1RUB.Гранд Чиз Фреш,Бургер
Кинг Гоу Деревенский,Закуски
Цезарь Кинг,Бургер
Острый Ангус Шеф,Бургер
Салат Цезарь new,прочее
"Up Дюшес б/л мал 0,4",Напитки
Up Острый Чикен Тар-тар,Бургер
Острый Грибной Гамбургер,Бургер
"Up Эвервесс Лемон-Лайм б/л  большой 0,8",Напитки
Ангус Камамбер Двойной,Бургер
Жевательная резинка Орбит сладкая мята,Дополнительно
Острый Гранд Чиз Фреш,Бургер
"Up Липтон Лимон б/л мал 0,4",Напитки
"Мандарин б/л стандарт 0,5",Напитки
Up Наггетсы (12 шт.),Закуски
Up Пиво Туборг Грин 0.5л розлив,Напитки
Воппер Шашлычок,Бургер
Острый Шримп Ролл,Ролл
"Эвервесс Блэк Роял большой 0,8",Напитки
Фиш Бургер Двойной,Бургер
"Up Эвервесс Кола мал 0,4",Напитки
"Up Байкал б/л мал 0,4",Напитки
Жевательная резинка Орбит bubblemint,Дополнительно
Биг Кинг XXL,Бургер
Up Латте (МАЛ.),Напитки
"Дюшес  стандарт 0,5",Напитки
Чикен Чизбургер,Бургер
Ангус Пармеджано Двойной,Бургер
Острый Грибной Чикенбургер,Бургер
Острые Наггетсы 9Шт,Закуски
Up Пиво Балтика 7 0.5л розлив,Напитки
Веган Воппер,Бургер
Острый Тильзитер Кинг,Бургер
Острый Чеддер Начос Кинг,Бургер
Острые Сырные Медальоны 6 Шт,Закуски
"Up Эвервесс Блэк Роял стандарт 0,5",Напитки
Острый Картофель Деревенский Стандартный,Закуски
Up Острые Наггетсы 3 шт,Закуски
Up Острый Гранд Чиз,Бургер
Ванильный Капучино (БОЛ.),Напитки
"Up Кола б/л мал 0,4",Напитки
Джуниор Корона,Дополнительно
Чеддер Бекон Кинг Двойной,Бургер
"1RUB.Лимонад б/л стандарт 0,5",Напитки
Ванильный Капучино (СТАНД.),Напитки
Ванильный Латте (БОЛ.),Напитки
Холодный Капучино,Напитки
Тильзитер Кинг с беконом,Бургер
"1RUB.Липтон Зеленый Чай в бутылке 0,5л",Напитки
Тильзитер Кинг Двойной,Бургер
"Мандарин джун 0,3л б/л",Напитки
Up Острые Кинг Фри Мал,Закуски
Родео Чикен Гамбургер,Бургер
Up Острый Картофель Деревенский Джун,Закуски
Ванильный Латте (СТАНД.),Напитки
Родео Чикен Гамбургер new,Бургер
"Up Эвервесс Кола стандарт 0,5",Напитки
Начос Бокс,прочее
Up Острый Кинг Фри Бол,Закуски
"Up Эвервесс Лемон-Лайм б/л  мал 0,4",Напитки
"Up Эвервесс Апельсин б/л  мал 0,4",Напитки
Острый Тильзитер Кинг с курицей,Бургер
"Дюшес в бутылке 0,5л",Напитки
Мистери ЧЕДДЕР НАЧОС КИНГ,Бургер
"1RUB.Липтон Лимон в бутылке 0,5л",Напитки
"Эвервесс Апельсин б/л  большой 0,8",Напитки
Up Латте Айриш Крим (СТАНД.),Напитки
Стрипсы (9 шт.),Закуски
Капучино Пряная Тыква (МАЛ.),Напитки
"Фрустайл Лимон Лайм большой 0,8",Напитки
Мистери ЧЕДДЕР НАЧОС КИНГ С КУРИЦЕЙ,Бургер
"Up Эвервесс Апельсин б/л стандарт 0,5",Напитки
Up Двойной Воппер,Бургер
Up Двойной Воппер с сыром,Бургер
Латте Пряная Тыква (МАЛ.),Напитки
Острые Луковые Кольца 6 Шт,Закуски
Балтика №0 БезПивоное Светлое,Напитки
Сандэй Двойная Карамель,Десерт
Острые Крылышки 6 Шт,Закуски
"Up Лимонад б/л большой 0,8",Напитки
"Up Пепси Кола б/л мал 0,4",Напитки
"Фрустайл Апельсин большой 0,8",Напитки
Острый Фиш Ролл,Ролл
Up Капучино Айриш Крим (МАЛ.),Напитки
Острый Фиш Бургер,Бургер
"Севен Ап дж 0,3 (б\л)",Напитки
Острый Чеддер Начос Шримп Ролл,Ролл
Up Капучино Айриш Крим (СТАНД.),Напитки
"1RUB.Кола б/л стандарт 0,5",Напитки
"Up Сок Яблочный 0,2л",Напитки
Up Латте Айриш Крим (МАЛ.),Напитки
Up Острый Гранд Чиз Фреш,Бургер
1RUB.Чизбургер,Бургер
"Эвервесс Лемон-Лайм б/л  большой 0,8",Напитки
Острый Чеддер Начос Кинг С Курицей,Бургер
Острый Тильзитер Ролл,Ролл
"Up Эвервесс Лимон-Лайм б/л стандарт 0,5",Напитки
"1RUB.Дюшес б/л стандарт 0,5",Напитки
Балтика №0 БезПивоное Грейпфрут,Напитки
Острый Шримп Пармезан Ролл,Ролл
Up Чай черный станд,Напитки
Up Воппер Шашлычок,Бургер
Стрипсы (12 шт.),Закуски
"Up Вода Аква Минерале без газа 0,5л",Напитки
"Up Липтон Лимон стандарт 0,5",Напитки
Up Креветки (9 шт.),Закуски
Стейкхаус new,Бургер
"1RUB.Эвервесс Блэк Роял в бутылке 0,5л",Напитки
Острые Наггетсы 12Шт,Закуски
"Up Эвервесс Блэк Роял б/л  стандарт 0,5",Напитки
Up Креветки (12 шт.),Закуски
Двойной Эспрессо,Напитки
Up Острый Чикенбургер New,Бургер
"Up Пепси Кола б/л большой 0,8",Напитки
Острые Наггетсы 3 Шт,Закуски
Up Чикенбургер По-Французски,Бургер
Острый Чеддер Начос Чикен Ролл,Ролл
Острые Сырные Медальоны 3 Шт,Закуски
Up Острый Томатный соус,Соус
Up Острые Сырные Медальоны 3 шт,Закуски
Up ЧизБекон Гамбургер,Бургер
Up Наггетсы (6 шт.),Закуски
"1RUB.Эвервесс Апельсин в бутылке 0,5л",Напитки
"Кола б/л большой 0,8",Напитки
Up Чай Зеленый станд,Напитки
Up Латте Айриш Крим (БОЛ.),Напитки
"Севен Ап б/л  мал 0,4",Напитки
Up Карамельный Латте (БОЛ.),Напитки
"Up Эвервесс Апельсин б/л  стандарт 0,5",Напитки
Мексиканский Гамбургер,Бургер
Мистери Воппер с сыром,Бургер
Up Гамбургер По-Французски,Бургер
"Up Пепси Кола в бутылке 0,5л",Напитки
Острый Ангус Пармеджано Двойной,Бургер
Up Острые Кинг Фри Станд,Закуски
"Миринда оранж дж 0,3 (б\л)",Напитки
Ангус Пармезан XL,Бургер
Острые Луковые Кольца 9Шт,Закуски
"Up Эвервесс Лемон-Лайм б/л  стандарт 0,5",Напитки
Up Карамельный Капучино (СТАНД.),Напитки
Сандэй Двойной Шоколад,Десерт
Липтон Грин XL 1л,Напитки
"Up Эвервесс Апельсин мал 0,4",Напитки
Up Карамельный Капучино (БОЛ.),Напитки
Кинг Букет «Стрипсы XL»,Закуски
"Пепси Манго джун 0,3л б/л",Напитки
Up Острые Сырные Медальоны 6 шт,Закуски
Острые Креветки 6 Шт,Закуски
Мистери Ангус Шеф,Бургер
Up Острый Воппер Ролл,Ролл
"Up Мандарин б/л большой 0,8",Напитки
Up Острый Двойной Чизбургер,Бургер
"Кола без сахара джун 0,3л",Напитки
"lim.Липтон Грин  мал 0,4",Напитки
Пакет Новый,Дополнительно
Острый Фиш Бургер Двойной,Бургер
Up Итальяно Кинг,Бургер
Up Стрипсы (6 шт.),Закуски
Острые Крылышки 3 Шт,Закуски
"1RUB.Эвервесс Лемон-Лайм в бутылке 0,5л",Напитки
Up Капучино Айриш Крим (БОЛ.),Напитки
Up Грибной Чикенбургер,Бургер
Мясной Ролл,Ролл
Up Соус Цезарь,Соус
Up Острый Гамбургер,Бургер
Up Стейкхаус new,Бургер
Острые Крылышки 12Шт,Закуски
Up Острый Цезарь Кинг New,Бургер
Мексиканский Чикенбургер,Бургер
Up Острый Чизбургер,Бургер
Up Чеддер Начос Кинг,Бургер
"Пепси Манго б/л  мал 0,4",Напитки
Капучино Пряная Тыква (БОЛ.),Напитки
Сандэй Двойная Клубника,Десерт
"Кола без сахара  мал 0,4",Напитки
Up Грибной Гамбургер,Бургер
Up Острый Цезарь Ролл Со Стрипсами,Ролл
Up Рожок Малина,Десерт
"Миринда б/л мал 0,4",Напитки
"lim.Эвервесс Блэк Роял джун 0,3л",Напитки
"Севен Ап б/л стандарт 0,5",Напитки
"Пепси Кола в бутылке 0,5л",Напитки
А4 СТУДИЯ,Дополнительно
Up Острые Луковые Кольца 9шт,Закуски
Up Острые Наггетсы 9шт,Закуски
Липтон Лимон XL 1л,Напитки
Up Карамельный Латте (СТАНД.),Напитки
Комикс,Дополнительно
lim.Липтон Лимон джун,Напитки
"Пепси Манго б/л стандарт 0,5",Напитки
Up Гранд Чиз Двойной,Бургер
Латте Пряная Тыква (БОЛ.),Напитки
Up Гранд Чиз Фреш Двойной,Бургер
Острые Стрипсы 3 Шт,Закуски
"Up Пепси Манго в бутылке 0,5л",Напитки
"Дюшес б/л большой 0,8",Напитки
Острый Тильзитер Кинг Двойной,Бургер
Мистери Гранд Чиз,Бургер
T.Шримп Ролл,Ролл
"lim.Эвервесс Блэк Роял мал 0,4",Напитки
Пиво Балтика 7 банка,Напитки
"Байкал б/л  большой 0,8",Напитки
Инди Пармезан,Бургер
Острые Крылышки 9Шт,Закуски
"lim.Липтон Лимон стандарт 0,5",Напитки
"Эвервесс Лемон-Лайм джун 0,3л",Напитки
"Эвервесс Апельсин джун 0,3л",Напитки
Up Ванильный Капучино (СТАНД.),Напитки
Up Сандэй Малиновый,Десерт
"lim.Липтон Лимон  мал 0,4",Напитки
Up Ванильный Капучино (БОЛ.),Напитки
Up Острые Луковые Кольца 6 шт,Закуски
Т.Цезарь ролл со стрипсами,Ролл
"lim.Эвервесс Кола мал 0,4",Напитки
"Пепси Манго в бутылке 0,5л",Напитки
"Up Сок Апельсиновый 0,2л",Напитки
А4 ПАТЧ,Дополнительно
Острые Сырные Медальоны 9Шт,Закуски
"lim.Липтон Грин стандарт 0,5",Напитки
Up Острые Картофель Деревенский Станд,Закуски
Up Острый Барбекю Бекон Чикенбургер,Бургер
"Пепси Макс джун 0,3л б/л",Напитки
"lim.Эвервесс Блэк Роял стандарт 0,5",Напитки
"Up Дюшес в бутылке 0,5л",Напитки
Кинг Конверт,Бургер
Острый Картофель Деревенский Малый,Закуски
1RUB.Карт. Деревен. мал,Закуски
Ролл Индейка Пармезан,Ролл
Up Острый Барбекю Бекон Гамбургер,Бургер
"Up Вода Аква Минерале с газом 0,5л",Напитки
"Эвервесс Апельсин мал 0,4",Напитки
"lim.Эвервесс Кола стандарт 0,5",Напитки
Чикен Ролл Родео BBQ,Ролл
"Кола без сахара  стандарт 0,5",Напитки
"Эвервесс Лемон-Лайм мал 0,4",Напитки
Воппер Родео BBQ,Бургер
"Миринда б/л стандарт 0,5",Напитки
Эвервесс Блэк Роял б/л  XL 1л,Напитки
Up Острые Луковые Кольца 3 шт,Закуски
"Эвервесс Апельсин стандарт 0,5",Напитки
Up Тройной Воппер,Бургер
GIFT.Чизбургер,Бургер
"Эвервесс Лемон-Лайм стандарт 0,5",Напитки
Чикен Конверт,Ролл
Up Латте Пряная Тыква (СТАНД.),Напитки
Up Ванильный Латте (СТАНД.),Напитки
Сок Яблочный,Напитки
Чикен Родео BBQ,Бургер
Кола б/л XL 1л,Напитки
"Лимонад б/л большой 0,8",Напитки
Up Ванильный Латте (БОЛ.),Напитки
T.Воппер Ролл,Ролл
Up Малиновый Шейк мал,Напитки
Пепси Кола б/л  XL 1л,Напитки
Острые Луковые Кольца 3 Шт,Закуски
"Up Миринда в бутылке 0,5л",Напитки
Острый Картофель Деревенский Джун,Закуски
"1RUB.Мандарин б/л стандарт 0,5",Напитки
Up Капучино Пряная Тыква (СТАНД.),Напитки
Шримп Конверт,Ролл
Острые Стрипсы 6 Шт,Закуски
"Пепси Кола б/л большой 0,8",Напитки
lim.Липтон Грин джун,Напитки
1RUB.Шримп Ролл,Ролл
"Острый Кинг Букет ""Крылышки Xxl""",Закуски
"Острый Кинг Букет ""Большой Микс""",прочее
"Up Дюшес б/л стандарт 0,5",Напитки
Up Острый Шримп Ролл,Ролл
Up АНГУС Шеф Двойной new,Бургер
"Дюшес большой 0,8",Напитки
Up Клубничный Шейк бол,Напитки
Up Шоколадный Шейк бол,Напитки
Эвервесс Апельсин б/л  XL 1л,Напитки
1RUB.Гамбургер,Бургер
Up Острый Грибной Гамбургер,Бургер
"Up Севен Ап в бутылке 0,5л",Напитки
Up Веган Воппер,Бургер
Up Капучино Пряная Тыква (МАЛ.),Напитки
"Up Дюшес большой 0,8",Напитки
Up Балтика 0 Грейпфрут БезПивоное,Напитки
Острые Сырные Медальоны 12Шт,Закуски
"1RUB.Вода Аква Минерале без газа 0,5л",Напитки
Up Клубничный Шейк станд,Напитки
Up Малиновый Шейк бол,Напитки
Up Ванильный Шейк бол,Напитки
Up Чеддер Бекон Кинг,Бургер
Салат Цезарь,прочее
Up Ванильный Шейк станд,Напитки
Байкал б/л  XL 1л,Напитки
Острые Креветки 12Шт,Закуски
Пиво Немецкий Вайсбир,Напитки
Кинг Гоу Стрипсы,Закуски
"Пепси Макс в бутылке 0,5л",Напитки
Мистери Тильзитер Кинг с курицей,Бургер
Up Острый Грибной Чикенбургер,Бургер
Up Шоколадный Шейк станд,Напитки
Up Какао,Напитки
Острые Креветки 9Шт,Закуски
Up Карт. Деревен. Джун,Закуски
"Up Пепси Манго б/л мал 0,4",Напитки
"lim.Эвервесс Кола джун 0,3л",Напитки
"Up Фрустайл Апельсин в бутылке 0,5л",Напитки
Up Кофе глясе,Напитки
Мистери Ангус Пармеджано,Бургер
Острые Креветки 3 Шт,Закуски
"Up Пепси Макс в бутылке 0,5л",Напитки
"Up Дюшес мал 0,4",Напитки
"Миринда в бутылке 0,5л",Напитки
"Up Севен Ап б/л мал 0,4",Напитки
"Севен Ап в бутылке 0,5л",Напитки
Эвервесс Лемон-Лайм б/л  XL 1л,Напитки
"Дюшес стандарт 0,5",Напитки
Up Острый Чеддер Начос Кинг,Бургер
Up Фиш Ролл,Ролл
Up Острые Стрипсы 3 Шт,Закуски
Up Соус Брусничный,Соус
